t,frame,x,y,z,doppler,snr_db
1783974074.395,83,7.377,-0.699,0.865,0.0,12.6
1783974074.395,83,7.224,1.865,0.031,0.0,12.6
1783974074.395,83,7.621,1.213,-0.869,0.0,14.7
1783974074.497,84,7.538,-1.193,-0.223,0.0,12.6
1783974074.497,84,7.08,1.67,2.32,0.0,12.6
1783974074.497,84,7.575,1.456,-0.897,0.0,15.2
1783974074.598,85,7.579,-0.716,0.586,0.0,16.6
1783974074.598,85,7.49,1.699,-1.151,0.0,13.5
1783974074.698,86,7.559,-0.716,0.799,0.0,14.9
1783974074.799,87,7.441,-0.938,0.243,0.0,11.8
1783974074.799,87,7.15,1.876,-1.291,0.0,11.8
1783974074.799,87,7.499,-0.716,1.243,0.0,13.1
1783974074.799,87,7.588,1.708,-0.698,0.0,13.2
1783974074.9,88,7.552,-0.716,0.867,0.0,17.9
1783974074.9,88,7.416,1.699,-1.558,0.0,15.3
1783974075.001,89,0.662,-0.886,-0.251,0.0,11.6
1783974075.001,89,0.68,0.709,0.567,0.0,11.6
1783974075.001,89,7.539,-1.193,0.163,0.0,15.4
1783974075.001,89,7.627,1.456,-0.149,0.0,15.7
1783974075.102,90,0.3,-0.515,-0.132,0.0,12.0
1783974075.102,90,0.655,-0.886,-0.269,0.0,11.6
1783974075.102,90,0.747,0.709,0.476,0.0,11.6
1783974075.102,90,7.504,-0.708,0.405,0.0,12.0
1783974075.102,90,7.542,1.699,-0.739,0.0,14.5
1783974075.203,91,0.305,-0.515,-0.12,0.0,11.5
1783974075.203,91,7.632,1.464,-0.777,0.0,14.5
1783974075.304,92,7.541,-1.193,0.082,0.0,13.7
1783974075.405,93,0.302,-0.515,-0.127,0.0,11.4
1783974075.405,93,7.507,-0.716,1.194,0.0,14.8
1783974075.405,93,7.571,1.699,-0.324,0.0,15.4
1783974075.507,94,7.612,0.971,-1.193,0.0,11.9
1783974075.557,95,7.409,-0.938,0.734,0.0,11.5
1783974075.557,95,7.53,-0.954,0.825,0.0,15.8
1783974075.557,95,7.501,1.456,-1.387,0.0,12.8
1783974075.557,95,7.572,-1.213,1.225,0.0,12.8
1783974075.709,96,7.571,-0.954,0.263,0.0,15.8
1783974075.709,96,7.331,0.728,-2.457,0.0,11.6
1783974075.81,97,7.543,-0.954,0.695,0.0,15.8
1783974075.81,97,7.294,1.909,-1.205,0.0,15.8
1783974075.81,97,7.607,1.456,-0.562,0.0,13.4
1783974075.86,98,0.31,-0.515,-0.106,0.0,11.8
1783974075.86,98,0.729,-0.851,-0.177,0.0,12.4
1783974075.86,98,1.019,0.496,-0.038,0.0,12.4
1783974075.86,98,7.575,-0.954,-0.033,0.0,15.5
1783974075.86,98,7.623,1.456,-0.29,0.0,16.2
1783974075.962,99,0.313,-0.515,-0.098,0.0,11.6
1783974075.962,99,0.286,-0.477,-0.252,0.0,11.6
1783974075.962,99,0.7,-0.851,-0.27,0.0,12.5
1783974075.962,99,1.002,0.496,-0.189,0.0,12.5
1783974075.962,99,7.575,-0.954,-0.023,0.0,17.1
1783974075.962,99,7.671,1.213,-0.017,0.0,15.0
1783974076.113,100,0.658,-0.886,-0.26,0.0,12.2
1783974076.113,100,1.007,0.496,-0.165,0.0,12.2
1783974076.113,100,7.249,2.147,1.062,0.0,13.8
1783974076.113,100,7.494,-1.432,-0.296,0.0,13.8
1783974076.113,100,7.444,1.699,-1.419,0.0,15.9
1783974076.113,100,7.447,-0.971,1.977,0.0,15.9
1783974076.164,101,0.301,-0.515,-0.129,0.0,11.2
1783974076.164,101,0.711,-0.851,-0.238,0.0,11.6
1783974076.164,101,0.985,0.496,-0.267,0.0,11.6
1783974076.164,101,7.405,-1.432,1.188,0.0,13.7
1783974076.164,101,7.071,2.625,1.189,0.0,13.7
1783974076.164,101,7.481,1.456,-1.489,0.0,16.7
1783974076.265,102,0.716,-0.851,-0.225,0.0,12.1
1783974076.265,102,1.019,0.461,-0.19,0.0,12.1
1783974076.265,102,7.496,-0.954,1.094,0.0,16.7
1783974076.265,102,7.224,2.386,0.641,0.0,16.7
1783974076.265,102,7.519,-1.213,1.517,0.0,12.3
1783974076.365,103,0.659,-0.886,-0.259,0.0,11.2
1783974076.365,103,1.021,0.461,-0.18,0.0,11.2
1783974076.365,103,7.519,-0.949,0.443,0.0,15.8
1783974076.365,103,7.612,-0.971,1.193,0.0,12.1
1783974076.467,104,0.632,-0.886,-0.32,0.0,11.7
1783974076.467,104,1.026,0.461,-0.149,0.0,11.7
1783974076.467,104,7.584,-0.716,0.516,0.0,14.8
