seq,ts_ticks,ts_src,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps
251,634876120,0,1002,13,-11,-280,-1050,-70
252,634881126,0,1001,13,-11,-280,-1050,-70
253,634886122,0,1001,13,-11,-280,-1050,-70
254,634891122,0,1001,13,-11,-280,-1050,-70
255,634896125,0,1001,13,-11,-280,-1050,-70
256,634901123,0,1002,13,-12,-280,-1050,-70
257,634906120,0,1002,13,-12,-280,-1050,-70
258,634911121,0,1002,13,-12,-280,-1050,-70
259,634916120,0,1001,13,-11,-210,-1050,-70
260,634921126,0,1001,13,-11,-210,-1050,-70
261,634926123,0,1001,13,-11,-210,-1050,-70
262,634931121,0,1001,13,-11,-210,-1050,-70
263,634936122,0,1002,13,-11,-280,-1050,-70
264,634941123,0,1002,13,-11,-280,-1050,-70
265,634946122,0,1002,13,-11,-280,-1050,-70
266,634951122,0,1002,13,-11,-280,-1050,-70
267,634956120,0,1002,12,-10,-280,-1050,-70
268,634961126,0,1002,12,-10,-280,-1050,-70
269,634966123,0,1002,12,-10,-280,-1050,-70
270,634971122,0,1002,14,-11,-280,-1050,-70
271,634976123,0,1002,14,-11,-280,-1050,-70
272,634981122,0,1002,14,-11,-280,-1050,-70
273,634986121,0,1002,14,-11,-280,-1050,-70
274,634991123,0,1002,14,-11,-210,-1050,-70
275,634996125,0,1002,14,-11,-210,-1050,-70
276,635001122,0,1002,14,-11,-210,-1050,-70
277,635006123,0,1002,14,-11,-210,-1050,-70
278,635011125,0,1002,14,-12,-210,-1050,-70
279,635016122,0,1002,14,-12,-210,-1050,-70
280,635021121,0,1002,14,-12,-210,-1050,-70
281,635026125,0,1002,14,-12,-210,-1050,-70
282,635031122,0,1002,13,-10,-210,-1050,-70
283,635036124,0,1002,13,-10,-210,-1050,-70
284,635041120,0,1002,13,-10,-210,-1050,-70
285,635046123,0,1002,13,-11,-210,-1050,-70
286,635051120,0,1002,13,-11,-210,-1050,-70
287,635056123,0,1002,13,-11,-210,-1050,-70
288,635061119,0,1002,13,-11,-210,-1050,-70
289,635066123,0,1001,13,-13,-210,-1050,-70
290,635071122,0,1001,13,-13,-210,-1050,-70
291,635076124,0,1001,13,-13,-210,-1050,-70
292,635081124,0,1001,13,-13,-210,-1050,-70
293,635086121,0,1002,13,-12,-280,-1050,-70
294,635091122,0,1002,13,-12,-280,-1050,-70
295,635096121,0,1002,13,-12,-280,-1050,-70
296,635101123,0,1001,13,-12,-280,-980,-70
297,635106122,0,1001,13,-12,-280,-980,-70
298,635111123,0,1001,13,-12,-280,-980,-70
299,635116122,0,1001,13,-12,-280,-980,-70
300,635121122,0,1002,13,-11,-210,-980,-70
301,635126121,0,1002,13,-11,-210,-980,-70
302,635131120,0,1002,13,-11,-210,-980,-70
303,635136122,0,1002,13,-11,-210,-980,-70
304,635141125,0,1001,13,-11,-210,-1050,-70
305,635146122,0,1001,13,-11,-210,-1050,-70
306,635151123,0,1001,13,-11,-210,-1050,-70
307,635156123,0,1001,14,-11,-280,-1050,-70
308,635161123,0,1001,14,-11,-280,-1050,-70
309,635166123,0,1001,14,-11,-280,-1050,-70
310,635171120,0,1001,14,-11,-280,-1050,-70
311,635176121,0,1002,13,-12,-210,-1050,-70
312,635181124,0,1002,13,-12,-210,-1050,-70
313,635186123,0,1002,13,-12,-210,-1050,-70
314,635191121,0,1002,13,-12,-210,-1050,-70
315,635196119,0,1002,13,-12,-210,-1050,-70
316,635201123,0,1002,13,-12,-210,-1050,-70
317,635206122,0,1002,13,-12,-210,-1050,-70
318,635211124,0,1002,13,-12,-210,-1050,-70
319,635216121,0,1002,13,-12,-280,-1050,-70
320,635221123,0,1002,13,-12,-280,-1050,-70
321,635226121,0,1002,13,-12,-280,-1050,-70
322,635231122,0,1002,13,-11,-210,-980,-70
