track_id,session_label,motion,material,range_m,az_deg,el_deg,ext_x,ext_y,ext_z,n_pts_mean,refl_median,refl_p90,refl_std,v_mean,v_abs_mean,v_std,vspread_mean,speed_est,displacement_m,persistence_s,hits,dop0,dop1,dop2,dop3,dop4,dop5,dop6,dop7,dop8
174,,static,fabric,1.12,55.9,-20.3,0.12,0.05,0.19,3.0,14.1,14.9,0.5,0.0,0.0,0.0,0.0,0.27,0.06,0.61,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
169,,unknown,fabric,0.96,21.2,-16.3,0.57,1.4,0.8,7.1,14.1,17.7,2.4,-0.01,0.04,0.08,0.15,1.71,0.69,3.12,40.0,0.0,0.0,0.0,0.119,0.807,0.074,0.0,0.0,0.0
162,,static,metal,7.71,-9.0,-6.4,0.31,0.66,1.4,4.9,48.5,49.8,1.2,0.0,0.0,0.0,0.0,2.56,1.09,12.56,164.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
175,,unknown,metal,7.64,-14.6,8.2,0.41,0.09,0.99,2.0,47.7,48.4,0.9,0.0,0.0,0.0,0.0,2.96,1.27,0.73,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
178,,static,metal,7.76,-1.7,-10.7,0.16,0.73,0.84,3.1,48.5,49.3,0.5,0.0,0.0,0.0,0.0,2.82,0.56,0.53,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
181,,static,metal,7.8,9.3,18.8,0.26,0.38,0.5,3.3,48.0,48.8,0.5,0.0,0.0,0.0,0.0,3.03,0.76,0.66,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
177,,static,metal,7.76,10.2,23.5,0.25,0.11,0.65,2.0,48.3,48.7,0.6,0.0,0.0,0.0,0.0,2.94,0.89,1.86,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
180,,static,metal,7.62,-13.1,-20.0,0.34,0.43,0.95,4.1,48.4,50.5,1.0,0.0,0.0,0.0,0.0,6.99,0.27,1.53,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
176,,unknown,metal,7.68,-14.8,4.7,0.31,0.07,0.77,2.6,48.0,50.2,1.3,0.0,0.0,0.0,0.0,6.74,2.69,3.16,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
179,,unknown,metal,7.5,-14.5,17.9,0.19,0.39,0.69,2.3,47.4,48.5,1.1,0.0,0.0,0.0,0.0,2.05,1.23,2.98,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
184,,static,metal,7.76,-11.1,-12.0,0.12,0.49,0.13,2.0,49.6,49.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.35,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
185,,static,metal,7.76,11.6,21.1,0.03,0.49,0.18,2.0,49.6,49.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.35,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
186,,static,fabric,1.07,-31.1,12.9,0.41,0.38,0.74,2.6,14.2,16.4,1.0,-0.03,0.03,0.06,0.07,0.97,0.17,0.39,7.0,0.0,0.0,0.0,0.167,0.833,0.0,0.0,0.0,0.0
183,,unknown,metal,7.79,-14.3,5.5,0.2,0.23,0.78,3.1,48.0,50.0,0.9,0.0,0.0,0.0,0.0,3.29,1.86,1.42,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
189,,static,metal,7.76,7.4,14.4,0.1,0.5,0.3,2.0,49.4,49.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.32,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
188,,unknown,metal,7.78,-6.4,-6.8,0.14,0.24,0.5,2.4,47.9,49.4,0.8,0.0,0.0,0.0,0.0,5.0,1.7,2.11,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
190,,static,metal,7.63,-14.1,26.0,0.12,0.0,0.25,2.0,51.1,51.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.34,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
187,,unknown,metal,7.8,-17.6,10.6,0.34,0.36,0.83,3.7,49.3,52.0,1.7,0.0,0.0,0.0,0.0,1.59,2.39,2.98,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
191,,static,fabric,1.1,-28.0,7.7,0.14,0.13,0.36,2.1,14.4,14.5,0.3,0.0,0.0,0.0,0.0,0.55,0.06,2.07,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
182,,pedestrian,fabric,0.85,-22.0,-1.6,0.34,0.99,0.63,5.3,14.0,15.0,2.0,0.01,0.08,0.15,0.22,2.01,1.31,7.66,96.0,0.0,0.0,0.0,0.097,0.731,0.156,0.016,0.0,0.0
192,,static,metal,7.76,-10.4,-10.5,0.21,0.69,1.0,3.6,47.8,48.6,0.7,0.0,0.0,0.0,0.0,1.74,0.83,3.75,48.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
197,,static,metal,7.46,-19.2,5.0,0.06,0.23,0.2,2.0,46.6,46.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.21,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
198,,static,metal,7.77,8.1,18.4,0.24,0.14,0.69,2.7,47.6,47.9,0.3,0.0,0.0,0.0,0.0,0.96,0.19,0.77,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
195,,static,fabric,1.18,57.3,-21.9,0.01,0.0,0.01,2.0,14.2,14.2,0.1,0.0,0.0,0.0,0.0,0.05,0.01,1.07,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
196,,static,fabric,1.18,-20.3,-12.2,0.01,0.01,0.06,2.0,14.2,14.5,0.2,0.0,0.0,0.0,0.0,0.03,0.01,2.18,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
200,,unknown,metal,7.72,-10.2,-9.1,0.3,0.45,0.81,2.4,48.3,48.9,0.9,0.0,0.0,0.0,0.0,4.58,1.36,0.87,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
