seq,ts_ticks,ts_src,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps
206313,1093640318,0,1003,3,14,-210,-1050,-70
206314,1093646968,0,1003,3,14,-210,-1050,-70
206315,1093650341,0,1003,3,14,-210,-1050,-70
206317,1093655544,0,1003,3,14,-210,-1050,-70
206318,1093660906,0,1002,3,14,-210,-1050,-70
206320,1093665344,0,1002,3,14,-210,-1050,-70
206321,1093670318,0,1002,3,14,-210,-1050,-70
206322,1093675309,0,1002,5,14,-210,-1050,-70
206323,1093680308,0,1002,5,14,-210,-1050,-70
206324,1093685311,0,1002,5,14,-210,-1050,-70
206325,1093690306,0,1002,5,14,-210,-1050,-70
206326,1093695316,0,1001,4,14,-210,-1050,-70
206327,1093700310,0,1001,4,14,-210,-1050,-70
206328,1093705308,0,1001,4,14,-210,-1050,-70
206329,1093710306,0,1001,4,14,-210,-1050,-70
206330,1093715305,0,1002,4,15,-280,-1050,-70
206331,1093720307,0,1002,4,15,-280,-1050,-70
206332,1093725315,0,1002,4,15,-280,-1050,-70
206333,1093730308,0,1002,4,15,-280,-1050,-70
206334,1093735322,0,1002,3,15,-210,-1050,-70
206335,1093740311,0,1002,3,15,-210,-1050,-70
206336,1093745307,0,1002,3,15,-210,-1050,-70
206337,1093750304,0,1002,3,15,-210,-1050,-70
206338,1093755309,0,1002,3,15,-210,-1050,-70
206339,1093760937,0,1002,3,15,-210,-1050,-70
206341,1093765460,0,1002,3,15,-210,-1050,-70
206342,1093770385,0,1003,3,14,-210,-1050,-70
206344,1093775644,0,1003,3,14,-210,-1050,-70
206345,1093780343,0,1003,3,14,-210,-1050,-70
206346,1093785317,0,1003,3,14,-210,-1050,-70
206347,1093790319,0,1003,4,14,-210,-1050,-70
206348,1093795309,0,1003,4,14,-210,-1050,-70
206349,1093800306,0,1003,4,14,-210,-1050,-70
206350,1093805306,0,1002,3,15,-210,-1050,-70
206351,1093810309,0,1002,3,15,-210,-1050,-70
206352,1093815305,0,1002,3,15,-210,-1050,-70
206353,1093820310,0,1002,3,15,-210,-1050,-70
206354,1093825308,0,1003,4,15,-280,-1050,-70
206355,1093830308,0,1003,4,15,-280,-1050,-70
206356,1093835309,0,1003,4,15,-280,-1050,-70
206357,1093840308,0,1003,4,15,-280,-1050,-70
206358,1093845310,0,1002,3,15,-210,-1050,-70
206359,1093850307,0,1002,3,15,-210,-1050,-70
206360,1093855307,0,1002,3,15,-210,-1050,-70
206361,1093860316,0,1003,4,15,-210,-1050,-70
206362,1093865307,0,1003,4,15,-210,-1050,-70
206363,1093870308,0,1003,4,15,-210,-1050,-70
206364,1093876902,0,1003,4,15,-210,-1050,-70
206366,1093880429,0,1003,4,15,-210,-1050,-70
206367,1093885630,0,1003,4,15,-210,-1050,-70
206369,1093890359,0,1003,4,15,-210,-1050,-70
206370,1093895336,0,1003,4,15,-210,-1050,-70
206371,1093900314,0,1002,4,13,-280,-1050,-70
206372,1093905311,0,1002,4,13,-280,-1050,-70
206373,1093910306,0,1002,4,13,-280,-1050,-70
206374,1093915307,0,1002,4,13,-210,-1050,-70
206375,1093920305,0,1002,4,14,-210,-1050,-70
206376,1093925309,0,1002,4,14,-210,-1050,-70
206377,1093930307,0,1002,4,14,-210,-1050,-70
206378,1093935305,0,1001,4,15,-210,-1050,-70
206379,1093940307,0,1001,4,15,-210,-1050,-70
206380,1093945307,0,1001,4,15,-210,-1050,-70
206381,1093950305,0,1001,4,15,-210,-1050,-70
206382,1093955318,0,1002,4,13,-280,-1050,-70
206383,1093960306,0,1002,4,13,-280,-1050,-70
206384,1093965306,0,1002,4,13,-280,-1050,-70
206385,1093970316,0,1002,4,13,-280,-1050,-70
206386,1093975306,0,1002,4,14,-210,-1050,-70
206387,1093980309,0,1002,4,14,-210,-1050,-70
206388,1093985310,0,1002,4,14,-210,-1050,-70
206389,1093991010,0,1003,4,15,-210,-1050,-70
206391,1093995458,0,1003,4,15,-210,-1050,-70
206392,1094000407,0,1003,4,15,-210,-1050,-70
206394,1094005346,0,1003,4,15,-210,-1050,-70
206395,1094010319,0,1002,3,15,-280,-1050,-70
206396,1094015315,0,1002,3,15,-280,-1050,-70
206397,1094020308,0,1002,3,15,-280,-1050,-70
206398,1094025308,0,1002,3,15,-280,-1050,-70
206399,1094030307,0,1002,4,14,-280,-1050,-70
206400,1094035307,0,1002,4,14,-280,-1050,-70
206401,1094040308,0,1002,4,14,-280,-1050,-70
206402,1094045308,0,1002,4,15,-280,-1050,-70
206403,1094050305,0,1002,4,15,-280,-1050,-70
206404,1094055309,0,1002,4,15,-280,-1050,-70
206405,1094060306,0,1002,4,15,-280,-1050,-70
206406,1094065323,0,1002,3,15,-280,-1050,-70
206407,1094070307,0,1002,3,15,-280,-1050,-70
206408,1094075304,0,1002,3,15,-280,-1050,-70
206409,1094080314,0,1002,3,15,-280,-1050,-70
206410,1094085315,0,1003,3,15,-210,-1050,-70
206411,1094090308,0,1003,3,15,-210,-1050,-70
206412,1094095313,0,1003,3,15,-210,-1050,-70
206413,1094102929,0,1002,3,15,-210,-1050,-70
206414,1094106809,0,1002,3,15,-210,-1050,-70
206416,1094110494,0,1002,3,15,-210,-1050,-70
206417,1094117451,0,1002,3,15,-210,-1050,-70
206419,1094120335,0,1003,3,14,-210,-1120,-70
206420,1094125312,0,1003,3,14,-210,-1120,-70
206421,1094130307,0,1003,3,14,-210,-1120,-70
206422,1094135310,0,1003,3,14,-210,-1120,-70
206423,1094140328,0,1003,4,15,-280,-980,-70
206424,1094145309,0,1003,4,15,-280,-980,-70
206425,1094150317,0,1003,4,15,-280,-980,-70
206426,1094155307,0,1003,4,15,-280,-980,-70
206427,1094160313,0,1002,4,15,-280,-1050,-140
206428,1094165307,0,1002,4,15,-280,-1050,-140
206429,1094170307,0,1002,4,15,-280,-1050,-140
206430,1094175308,0,1002,4,15,-280,-1050,-70
206431,1094180309,0,1002,4,15,-280,-1050,-70
206432,1094185309,0,1002,4,15,-280,-1050,-70
206433,1094190314,0,1002,4,15,-280,-1050,-70
206434,1094195311,0,1002,4,15,-280,-1050,-70
206435,1094200306,0,1002,4,15,-280,-1050,-70
206436,1094205310,0,1002,4,15,-280,-1050,-70
206437,1094210307,0,1002,4,15,-280,-1050,-70
206438,1094216816,0,1002,4,14,-210,-1050,-70
206439,1094220699,0,1002,4,14,-210,-1050,-70
206441,1094225652,0,1002,4,14,-210,-1050,-70
206442,1094231295,0,1003,4,14,-280,-1050,-70
206444,1094235337,0,1003,4,14,-280,-1050,-70
206445,1094240312,0,1003,4,14,-280,-1050,-70
206446,1094245316,0,1003,4,14,-280,-1050,-70
206447,1094250306,0,1002,4,14,-210,-1050,-70
206448,1094255305,0,1002,4,14,-210,-1050,-70
206449,1094260312,0,1002,4,14,-210,-1050,-70
206450,1094265307,0,1002,4,14,-210,-1050,-70
206451,1094270309,0,1002,4,14,-280,-1050,-70
206452,1094275306,0,1002,4,14,-280,-1050,-70
206453,1094280308,0,1002,4,14,-280,-1050,-70
206454,1094285307,0,1002,4,15,-280,-1050,-70
206455,1094290309,0,1002,4,15,-280,-1050,-70
206456,1094295308,0,1002,4,15,-280,-1050,-70
206457,1094300309,0,1002,4,15,-280,-1050,-70
206458,1094305311,0,1003,3,15,-280,-1050,-70
